"Neighborhood","City","1st Most Common Venue","2nd Most Common Venue","3rd Most Common Venue","4th Most Common Venue","5th Most Common Venue","6th Most Common Venue","7th Most Common Venue","8th Most Common Venue","9th Most Common Venue","10th Most Common Venue"
"Amager Vest","Copenhagen","Restaurant","Hotel","Supermarket","Park","Pizza Place","Coffee Shop","Café","Golf Course","Grocery Store","Gym / Fitness Center"
"Amager Øst","Copenhagen","Restaurant","Beach","Café","Coffee Shop","Bakery","Gym / Fitness Center","Burger Joint","Pizza Place","Grocery Store","Sports Club"
"Batignolles-Monceau","Paris","Restaurant","Hotel","Bakery","Bistro","Plaza","Pastry Shop","Cheese Shop","Park","Bar","Pizza Place"
"Bispebjerg","Copenhagen","Restaurant","Pizza Place","Café","Grocery Store","Dance Studio","Convenience Store","Gym / Fitness Center","Supermarket","Hostel","Farmers Market"
"Bourse","Paris","Restaurant","Bistro","Wine Bar","Plaza","Bar","Cocktail Bar","Hotel","Salad Place","Lounge","Pizza Place"
"Brønshøj-Husum","Copenhagen","Restaurant","Park","Supermarket","Bakery","Theater","Bus Stop","Snack Place","Bowling Alley","Café","Martial Arts Dojo"
"Buttes-Chaumont","Paris","Restaurant","Bar","Café","Pizza Place","Multiplex","Brasserie","Beer Bar","Pool","Canal","Hotel"
"Buttes-Montmartre","Paris","Restaurant","Bar","Bistro","Pizza Place","Plaza","Café","Deli / Bodega","Gastropub","Convenience Store","Sandwich Place"
"Entrepôt","Paris","Restaurant","Coffee Shop","Bistro","Pizza Place","Cocktail Bar","Wine Shop","Café","Breakfast Spot","Bakery","Burger Joint"
"Frederiksberg","Copenhagen","Restaurant","Café","Park","Bakery","Bar","Pizza Place","Exhibit","Burger Joint","Theater","Coffee Shop"
"Gobelins","Paris","Restaurant","Hotel","Bakery","Bistro","Park","Bar","Supermarket","Café","Farmers Market","Convenience Store"
"Hôtel-de-Ville","Paris","Restaurant","Hotel","Ice Cream Shop","Wine Bar","Pastry Shop","Bakery","Plaza","Tea Room","Garden","Art Gallery"
"Indre By","Copenhagen","Restaurant","Coffee Shop","Cocktail Bar","Café","Furniture / Home Store","Wine Bar","Bar","Plaza","Clothing Store","Steakhouse"
"Louvre","Paris","Restaurant","Hotel","Café","Plaza","Exhibit","Coffee Shop","Art Museum","Bar","Historic Site","Tea Room"
"Luxembourg","Paris","Restaurant","Hotel","Wine Bar","Tea Room","Bistro","Women's Store","Pastry Shop","Ice Cream Shop","Chocolate Shop","Bakery"
"Ménilmontant","Paris","Restaurant","Bar","Plaza","Bakery","Supermarket","Bistro","Café","Hotel","Pizza Place","Music Venue"
"Nørrebro","Copenhagen","Restaurant","Coffee Shop","Pizza Place","Café","Bakery","Playground","Gym / Fitness Center","Wine Bar","Park","Beer Bar"
"Observatoire","Paris","Restaurant","Hotel","Bar","Pizza Place","Bistro","Bakery","Wine Bar","Plaza","Coffee Shop","Art Museum"
"Opéra","Paris","Restaurant","Hotel","Cocktail Bar","Bistro","Bakery","Wine Bar","Bar","Pizza Place","Sandwich Place","Cupcake Shop"
"Palais-Bourbon","Paris","Restaurant","Hotel","Plaza","Café","History Museum","Cocktail Bar","Historic Site","Garden","Ice Cream Shop","Coffee Shop"
"Panthéon","Paris","Restaurant","Café","Bar","Wine Bar","Plaza","Bakery","Hotel","Pub","Coffee Shop","Garden"
"Passy","Paris","Restaurant","Bakery","Café","Garden","Supermarket","Pizza Place","Bistro","Gym / Fitness Center","Park","Plaza"
"Popincourt","Paris","Restaurant","Bar","Cocktail Bar","Bistro","Wine Bar","Beer Bar","Pizza Place","Pub","Bakery","Record Shop"
"Reuilly","Paris","Restaurant","Hotel","Plaza","Supermarket","Bakery","Park","Tram Station","Café","Sandwich Place","Pizza Place"
"Temple","Paris","Restaurant","Bistro","Coffee Shop","Hotel","Art Gallery","Café","Pizza Place","Sandwich Place","Boutique","Burger Joint"
"Valby","Copenhagen","Restaurant","Coffee Shop","Café","Pizza Place","Bakery","Gym / Fitness Center","Grocery Store","Supermarket","Burger Joint","Ice Cream Shop"
"Vanløse","Copenhagen","Restaurant","Grocery Store","Convenience Store","Pizza Place","Supermarket","Soccer Field","Train Station","Gym / Fitness Center","Café","Lake"
"Vaugirard","Paris","Restaurant","Hotel","Bakery","Park","Coffee Shop","Bistro","Gym / Fitness Center","Gym","Bar","Gastropub"
"Vesterbro/Kongens Enghave","Copenhagen","Restaurant","Café","Cocktail Bar","Coffee Shop","Pizza Place","Wine Bar","Music Venue","Bakery","Park","Bistro"
"Élysée","Paris","Restaurant","Hotel","Art Gallery","Clothing Store","Bakery","Theater","Garden","Cosmetics Shop","Bar","Salad Place"
"Østerbro","Copenhagen","Restaurant","Harbor / Marina","Coffee Shop","Bakery","Playground","Pizza Place","Soccer Stadium","Ice Cream Shop","Gym","Theater"
